en;es
BABY;BEBÉ
HOUSE;CASA
GROW;CRECER
SMOKE;FUMAR
WORM;GUSANO
WATCH;RELOJ
EGG;HUEVO
SIT;SENTARSE
SHAMPOO;SHAMPOO
CAT;GATO
TABLE;MESA
BORN;NACER
DRINK;BEBER
DRAW;DIBUJAR
APPLE;MANZANA
EAT;COMER
BED;CAMA
POLICE;POLICÍA
RAIN;LLUVIA
SEE;VER
COOK;COCINAR
WHALE;BALLENA
SNAKE;SERPIENTE
LEMON;LIMÓN
COMB;PEINARSE
LAUGH;REÍR
CHICKEN;POLLO
READ;LEER
FIRE;FUEGO
DAY;DÍA
BREAD;PAN
BLUSH;RUBORIZARSE
CHILD;NIÑO
SICK;ENFERMO
THINK;PENSAR
SALT;SAL
ANGRY;ENOJADO
SAD;TRISTE
KILL;MATAR
NIGHT;NOCHE
HORSE;CABALLO
OLD;VIEJO
CROWN;CORONA
WOOD;MADERA
SOCCER;FÚTBOL
CUP;VASO
BOTTLE;BOTELLA
BOX;CAJA
BAG;BOLSA
DOOR;PUERTA
BILL;BILLETE
KEYS;LLAVES
BOOK;LIBRO
MIRROR;ESPEJO
CEILING;TECHO
TOOTHBRUSH;CEPILLO-DE-DIENTE
PEN;LAPICERO
PERSON;PERSONA
KNIFE;CUCHILLO
GUN;PISTOLA
EYEBROW;CEJA
GLASSES;LENTES
PLANE;AVIÓN
VEHICLE;VEHÍCULO
VEHICLE (LARGE);VEHÍCULO-LARGO
BIG;GRANDE
FLOWER;FLOR
BREAK;ROMPER
ROCK;ROCA
SEA;MAR
FINISH;TERMINAR
BEAR;OSO
SHEEP;OVEJA
HEALTH;SALUD
STICK;PALO
PAN;SARTÉN
PATH;CAMINO
FORK;TENEDOR
HAMMER;MARTILLO
CLOSE;CERRAR
CROCODILE;COCODRILO
BUTTERFLY;MARIPOSA
BANANA;PLATANO
FISH;PEZ
TEA;TÉ
WIND;VIENTO
TREE;ÁRBOL
MOUNTAIN;MONTAÑA
MONKEY;MONO
RABBIT;CONEJO
THREAD;HILO
VASE;JARRÓN
ROPE;SOGA
COLUMN;COLUMNA
HOOK;GARFIO
MOON;LUNA
SUN;SOL
RIVER;RÍO
STAR;ESTRELLA
CLAW (BIRD);GARRA-DE-AVE
RECTANGULAR-PAPER;PAPEL-RECTANGULAR
JUMP;SALTAR
CRAB;CANGREJO
TRAIN;TREN
TURTLE;TORTUGA
